PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.5 uM,Standard Deviation,Inhibition at 8.5 uM [1],Inhibition at 8.5 uM [2],Inhibition at 8.5 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized average percent inhibition of the counterscreen at a compound concentration of 8.5 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 1.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 2.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,8.5,,8.5,8.5,8.5
1,92764137,40586,CC1C2=C(CC(O1)CC(=O)O)C(=O)C3=C(C2=O)C(=CC=C3)O,Active,99,,,98.15,0.439469,98.0905,98.7127,97.6409
2,93576581,407401,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)O,Active,99,,,98.15,0.337192,98.3731,98.3961,97.6696
3,99356200,283138,CC1C2=C(C3C(O1)CC(=O)O3)C(=O)C4=C(C2=O)C(=CC=C4)O,Active,98,,,97.16,0.67469,97.1088,96.3643,98.0143
4,14730721,254021,C1=CC=C2C(=C1)C3=C(C=C(C=C3)N)C(=O)C2=O,Active,98,,,97.14,0.597194,97.0544,96.462,97.9165
5,121283339,72810,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1,Active,98,,,96.83,0.583606,96.1233,96.8238,97.5528
6,26666864,313619,C1=CC=[N+](C(=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-])[O-],Active,98,,,96.49,0.818891,96.3796,97.5451,95.5486
7,121286195,51361442,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)C(C)C)NC2=O,Active,98,,,96.47,0.804692,96.6717,97.336,95.3967
8,26725274,330973,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)CC(=O)O[C@H]4[C@H]5[C@@H](C[C@H]([C@H]6[C@]4(C(=O)C=C6)C)C)OC(=O)C5=C)C(=C)C(=O)O2,Active,98,,,96.44,0.743162,95.4998,97.316,96.5144
9,49672045,2536883,COC1=C(C=CC(=C1)SC)C(=O)NC2=NC3=CC=CC=C3N2,Active,98,,,96.28,0.537648,96.3145,95.6009,96.9163
10,26664933,42640,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],Active,97,,,95.99,0.795087,96.5706,96.5392,94.8685
11,50085435,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,Active,97,,,95.67,0.917713,94.3724,96.3949,96.2334
12,124752936,5154,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6,Active,97,,,95.34,0.475234,94.964,96.0126,95.0505
13,89851455,135438323,CC1=CC(=C(N1C2=CC=CC=C2F)C)C3=NNC(=NC4CC4)SC3,Active,95,,,94.02,0.294027,93.7135,94.4149,93.9223
14,26725215,442142,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C)C(=C)C(=O)O2,Active,95,,,93.95,0.32089,93.9138,94.366,93.5832
15,26729196,9583467,CC1=C(C(=NN1C(C)(C)C)C)/C=N/OC(=O)NC2=CC=C(C=C2)Cl,Active,95,,,93.76,0.321419,93.5218,94.2107,93.5363
16,26727619,9583470,CC1=C(C=C(C=C1)NC(=O)O/N=C/C2=C(N(N=C2C)C(C)(C)C)C)Cl,Active,94,,,92.94,0.943847,91.6078,93.707,93.4963
17,26726875,2815175,C1COC2=C(C=C(C=C2)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O)OC1,Active,94,,,92.8,0.59954,92.05,92.8441,93.5169
